Primary NAICS,Chemical,Clean Air Act Chemical,Metal,Metal Category,Carci0gen,Unit of Measure,Total Releases
221112,AMMONIA,0,0,0,0,Pounds,117782
424710,"1,2,4-TRIMETHYLBENZENE",0,0,0,0,Pounds,0
424710,ETHYLBENZENE,1,0,0,0,Pounds,0
424710,METHYL TERT-BUTYL ETHER,1,0,0,0,Pounds,0
424690,STYRENE,1,0,0,1,Pounds,13
311119,ZINC COMPOUNDS,0,1,1,0,Pounds,0
332812,XYLENE (MIXED ISOMERS),1,0,0,0,Pounds,1046
311512,NITRIC ACID,0,0,0,0,Pounds,0
332431,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",0,0,0,0,Pounds,0
424710,NAPHTHALENE,1,0,0,0,Pounds,0
313320,TOLUENE,1,0,0,0,Pounds,833
424710,N-HEXANE,1,0,0,0,Pounds,0
424690,XYLENE (MIXED ISOMERS),1,0,0,0,Pounds,0
332999,LEAD,1,1,1,1,Pounds,0
334412,LEAD,1,1,1,1,Pounds,3.1
424710,NAPHTHALENE,1,0,0,0,Pounds,184.63
334417,LEAD,1,1,1,1,Pounds,0.1249
424710,CYCLOHEXANE,0,0,0,0,Pounds,0
424710,CUMENE,1,0,0,0,Pounds,0
424710,NAPHTHALENE,1,0,0,0,Pounds,0
562211,ASBESTOS (FRIABLE),1,1,2,1,Pounds,132000
325211,O-CRESOL,1,0,0,0,Pounds,500
322130,LEAD,1,1,1,1,Pounds,213.15
339999,CYCLOHEXANE,0,0,0,0,Pounds,0
424710,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0
324191,ZINC COMPOUNDS,0,1,1,0,Pounds,0
331312,LITHIUM CARBONATE,0,1,2,0,Pounds,0
424710,ETHYLBENZENE,1,0,0,0,Pounds,0
424710,TOLUENE,1,0,0,0,Pounds,0
424710,CYCLOHEXANE,0,0,0,0,Pounds,0
325510,"1,2,4-TRIMETHYLBENZENE",0,0,0,0,Pounds,454
424710,ETHYLBENZENE,1,0,0,0,Pounds,76
424710,METHYL TERT-BUTYL ETHER,1,0,0,0,Pounds,0
424710,BENZENE,1,0,0,1,Pounds,0
424710,ETHYLBENZENE,1,0,0,0,Pounds,0
424710,XYLENE (MIXED ISOMERS),1,0,0,0,Pounds,0
424710,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0
424710,TOLUENE,1,0,0,0,Pounds,51.37
221112,LEAD COMPOUNDS,1,1,1,0,Pounds,118.83
332431,CERTAIN GLYCOL ETHERS,1,0,0,0,Pounds,36600
424710,CYCLOHEXANE,0,0,0,0,Pounds,0
424710,NAPHTHALENE,1,0,0,0,Pounds,0
424710,METHYL TERT-BUTYL ETHER,1,0,0,0,Pounds,137
331421,COPPER,0,1,1,0,Pounds,0.1
424710,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0.666
424710,N-HEXANE,1,0,0,0,Pounds,0
424710,XYLENE (MIXED ISOMERS),1,0,0,0,Pounds,0
424710,CYCLOHEXANE,0,0,0,0,Pounds,0
424710,NAPHTHALENE,1,0,0,0,Pounds,0
327390,LEAD,1,1,1,1,Pounds,0.0018
424710,"1,2,4-TRIMETHYLBENZENE",0,0,0,0,Pounds,0
332991,METHANOL,1,0,0,0,Pounds,0
311513,NITRATE COMPOUNDS,0,0,0,0,Pounds,7260
331524,COPPER,0,1,1,0,Pounds,894
331112,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",1,0,0,0,Pounds,18255
331112,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",0,0,0,0,Pounds,4929.3
331524,LEAD,1,1,1,1,Pounds,0
333412,LEAD,1,1,1,1,Pounds,0
326122,STYRENE,1,0,0,1,Pounds,11512
334419,LEAD,1,1,1,1,Pounds,0.3
325199,FORMALDEHYDE,1,0,0,1,Pounds,2675
424710,TOLUENE,1,0,0,0,Pounds,0
424710,BENZENE,1,0,0,1,Pounds,0
424710,N-HEXANE,1,0,0,0,Pounds,0
424710,BENZENE,1,0,0,1,Pounds,0
221112,NAPHTHALENE,1,0,0,0,Pounds,0
332431,HYDROGEN FLUORIDE,1,0,0,0,Pounds,4
311513,NITRATE COMPOUNDS,0,0,0,0,Pounds,0
424690,O-XYLENE,1,0,0,0,Pounds,0
332431,LEAD,1,1,1,1,Pounds,2.3
424710,BENZENE,1,0,0,1,Pounds,255
334416,LEAD,1,1,1,1,Pounds,1.37
339999,DICHLOROMETHANE,1,0,0,1,Pounds,2867
424710,TOLUENE,1,0,0,0,Pounds,255
333132,CHROMIUM,1,1,1,1,Pounds,5
325920,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0
331312,LEAD COMPOUNDS,1,1,1,0,Pounds,47
331312,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,920.4
334417,LEAD,1,1,1,1,Pounds,22.16
327215,LEAD,1,1,1,1,Pounds,0.54
311511,NITRATE COMPOUNDS,0,0,0,0,Pounds,0
331316,CERTAIN GLYCOL ETHERS,1,0,0,0,Pounds,3767
334417,POLYCHLORINATED BIPHENYLS,1,0,0,1,Pounds,8
221112,AMMONIA,0,0,0,0,Pounds,1797
322121,DECABROMODIPHENYL OXIDE,0,0,0,0,Pounds,11139
332991,CHROMIUM,1,1,1,1,Pounds,775
336510,NICKEL,1,1,1,1,Pounds,71
221112,HYDROGEN FLUORIDE,1,0,0,0,Pounds,9898
332994,MANGANESE,1,1,1,0,Pounds,841
333911,ZINC (FUME OR DUST),0,1,4,0,Pounds,250
325320,METHYL ISOTHIOCYANATE,0,0,0,0,Pounds,0
325199,BENZOYL PEROXIDE,0,0,0,0,Pounds,1
325199,MALEIC ANHYDRIDE,1,0,0,0,Pounds,11
221112,VANADIUM COMPOUNDS,0,1,1,0,Pounds,4352
322121,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0.000458
INVALD,COPPER,0,1,1,0,Pounds,0
INVALD,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",1,0,0,0,Pounds,0
322121,"BENZO(G,H,I)PERYLENE",1,0,0,1,Pounds,0.69
322121,NITRATE COMPOUNDS,0,0,0,0,Pounds,21868
INVALD,TERT-BUTYL ALCOHOL,0,0,0,0,Pounds,0
333319,LEAD,1,1,1,1,Pounds,3.65
325992,CHLORINE,1,0,0,0,Pounds,9129
325188,AMMONIA,0,0,0,0,Pounds,8197
332813,LEAD,1,1,1,1,Pounds,1726
327993,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),1,1,1,0,Pounds,263.8
325412,DICHLOROMETHANE,1,0,0,1,Pounds,370.92
325199,METHYL ISOBUTYL KETONE,1,0,0,0,Pounds,14505
339112,M-XYLENE,1,0,0,0,Pounds,1070
326199,TRICHLOROETHYLENE,1,0,0,1,Pounds,16124
332410,NICKEL,1,1,1,1,Pounds,85.7
311513,NITRIC ACID,0,0,0,0,Pounds,0
325188,NICKEL COMPOUNDS,1,1,1,0,Pounds,0.08
333618,SEC-BUTYL ALCOHOL,0,0,0,0,Pounds,11733
325520,CYCLOHEXANE,0,0,0,0,Pounds,1000
334419,LEAD,1,1,1,1,Pounds,17.1
324191,BARIUM COMPOUNDS,0,1,3,0,Pounds,5.282
336350,NITRATE COMPOUNDS,0,0,0,0,Pounds,0
INVALD,ETHYLENE GLYCOL,1,0,0,0,Pounds,0
327122,NICKEL COMPOUNDS,1,1,1,0,Pounds,3999
334413,COPPER COMPOUNDS,0,1,1,0,Pounds,7612
332721,COPPER,0,1,1,0,Pounds,0.0405
339113,POLYCYCLIC AROMATIC COMPOUNDS,1,0,0,1,Pounds,0
333911,NICKEL,1,1,1,1,Pounds,32
331312,ZINC (FUME OR DUST),0,1,4,0,Pounds,0
336399,NICKEL,1,1,1,1,Pounds,24.3
325412,METHANOL,1,0,0,0,Pounds,9238
311511,NITRIC ACID,0,0,0,0,Pounds,0
