Primary NAICS,Chemical,Clean Air Act Chemical,Metal,Carcinogen,Unit of Measure,5.2 Stack Air,On-site Release Total,Off-Site Release Total,Total Releases
221112,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",YES,NO,NO,Pounds,66435,66435,0,66435
311119,MANGANESE COMPOUNDS,YES,YES,NO,Pounds,0,0,0,0
424690,XYLENE (MIXED ISOMERS),YES,NO,NO,Pounds,0,0,0,0
334412,CERTAIN GLYCOL ETHERS,YES,NO,NO,Pounds,8231,8795,0,8795
332999,LEAD COMPOUNDS,YES,YES,NO,Pounds,111.6,111.6,19.2,132
424710,"1,2,4-TRIMETHYLBENZENE",NO,NO,NO,Pounds,4,22,3,25
424710,NAPHTHALENE,YES,NO,NO,Pounds,63,106.45,0,106.45
325998,SODIUM NITRITE,NO,YES,NO,Pounds,0,0,0,0
311119,MANGANESE COMPOUNDS,YES,YES,NO,Pounds,0,0,0,0
311119,MANGANESE COMPOUNDS,YES,YES,NO,Pounds,0,0,0,0
331316,NITRATE COMPOUNDS,NO,NO,NO,Pounds,41,22195,0,22195
325611,SODIUM DIMETHYLDITHIOCARBAMATE,NO,NO,NO,Pounds,0,0,0,0
325181,LEAD COMPOUNDS,YES,YES,NO,Pounds,0,32.5,0.752,39.752
311211,CHLORINE,YES,NO,NO,Pounds,0,0,0,0
424690,P-XYLENE,YES,NO,NO,Pounds,0,0,0,0
339114,ETHYLENE GLYCOL,YES,NO,NO,Pounds,0,0,0,0
424690,TRICHLOROETHYLENE,YES,NO,YES,Pounds,0,0,0,0
335931,LEAD,YES,YES,YES,Pounds,0,0,0,0.16
335999,DIMETHYL PHTHALATE,YES,NO,NO,Pounds,0,0,0,0
326199,LEAD,YES,YES,YES,Pounds,5.72944,5.72944,0,5.72944
424710,CYCLOHEXANE,NO,NO,NO,Pounds,0,0,0,0
424710,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0,0,0,0
326299,2-MERCAPTOBENZOTHIAZOLE,NO,NO,NO,Pounds,0,0,0,0
324199,STYRENE,YES,NO,YES,Pounds,0,0,0,0
311513,NITRATE COMPOUNDS,NO,NO,NO,Pounds,0,8925,0,8925
424710,BENZENE,YES,NO,YES,Pounds,171,342,14,356
335999,"1,2,4-TRIMETHYLBENZENE",NO,NO,NO,Pounds,9264,9264,0,9264
424710,ETHYLBENZENE,YES,NO,NO,Pounds,0,0,0,0
424710,TOLUENE,YES,NO,NO,Pounds,248,285.53,0,285.53
331492,NICKEL COMPOUNDS,YES,YES,NO,Pounds,5,5,0,5
325211,CRESOL (MIXED ISOMERS),YES,NO,NO,Pounds,94,344,0,344
325211,O-XYLENE,YES,NO,NO,Pounds,250,500,0,500
332992,ANTIMONY,YES,YES,NO,Pounds,0,0,0,0
332992,NICKEL,YES,YES,YES,Pounds,0,0,20,95
333298,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),YES,YES,NO,Pounds,0,11,0,11
332812,LEAD COMPOUNDS,YES,YES,NO,Pounds,0,0,1049,1049
327310,CHROMIUM,YES,YES,YES,Pounds,0,0,0,0
325211,ZINC COMPOUNDS,NO,YES,NO,Pounds,250,535,1731,2266
221112,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0.077,0.077,0,0.077
334412,TETRABROMOBISPHENOL A,NO,NO,YES,Pounds,1.09,1.1009,0,1.1009
311421,NITRATE COMPOUNDS,NO,NO,NO,Pounds,0,0,0,0
332312,MANGANESE,YES,YES,NO,Pounds,0,0,0,0
323119,CERTAIN GLYCOL ETHERS,YES,NO,NO,Pounds,0,96,0,96
332431,XYLENE (MIXED ISOMERS),YES,NO,NO,Pounds,4325,5425,0,5425
311942,"HYDROCHLORIC ACID (1995 AND AFTER ""ACID AEROSOLS"" ONLY)",YES,NO,NO,Pounds,141801.8,141801.8,0,141801.8
334417,LEAD,YES,YES,YES,Pounds,0,0,3,3
424690,AMMONIA,NO,NO,NO,Pounds,0,0,0,0
424710,METHYL TERT-BUTYL ETHER,YES,NO,NO,Pounds,0,0,0,0
424710,CUMENE,YES,NO,NO,Pounds,0,0,0,0
424710,XYLENE (MIXED ISOMERS),YES,NO,NO,Pounds,0,0,0,0
562211,CHROMIUM,YES,YES,YES,Pounds,0,27600.6,542,28142.6
562211,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0,7500,71.9,7571.9
424710,N-HEXANE,YES,NO,NO,Pounds,101,325,2,327
325412,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0,0,0,0
331492,NITRIC ACID,NO,NO,NO,Pounds,350,350,0,350
339991,ZINC COMPOUNDS,NO,YES,NO,Pounds,250,505,5,510
325199,METHANOL,YES,NO,NO,Pounds,8100,10300,0,10300
322121,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0,0,0,0
424710,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0,0,0,0
424710,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0,0,0,0
325199,PYRIDINE,NO,NO,NO,Pounds,247,5518,0,5518
325211,TETRABROMOBISPHENOL A,NO,NO,YES,Pounds,0,0,520,520
325199,CHLOROACETIC ACID,YES,NO,NO,Pounds,250,505,0,505
424710,ETHYLBENZENE,YES,NO,NO,Pounds,0,0,0,0
424710,XYLENE (MIXED ISOMERS),YES,NO,NO,Pounds,0,0,0,0
332721,LEAD,YES,YES,YES,Pounds,0,0,0.076,0.4146
324121,"BENZO(G,H,I)PERYLENE",YES,NO,YES,Pounds,0,0,0,0
324121,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0.1,0.1,0,0.1
221112,POLYCYCLIC AROMATIC COMPOUNDS,YES,NO,YES,Pounds,0.79,7.479,0,7.479
325199,EPICHLOROHYDRIN,YES,NO,YES,Pounds,0,0,0,0
331421,COPPER,NO,YES,NO,Pounds,0,0,0,0.1
