Primary NAICS,Chemical,Clean Air Act Chemical,Metal,Carcinogen,Unit of Measure,Total Releases
221112,HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY),1,0,0,Pounds,66435
311119,MANGANESE COMPOUNDS,1,1,0,Pounds,0
424690,XYLENE (MIXED ISOMERS),1,0,0,Pounds,0
334412,CERTAIN GLYCOL ETHERS,1,0,0,Pounds,8795
332999,LEAD COMPOUNDS,1,1,0,Pounds,132
424710,124-TRIMETHYLBENZENE,0,0,0,Pounds,25
424710,NAPHTHALENE,1,0,0,Pounds,106.45
325998,SODIUM NITRITE,0,1,0,Pounds,0
311119,MANGANESE COMPOUNDS,1,1,0,Pounds,0
311119,MANGANESE COMPOUNDS,1,1,0,Pounds,0
331316,NITRATE COMPOUNDS,0,0,0,Pounds,22195
325611,SODIUM DIMETHYLDITHIOCARBAMATE,0,0,0,Pounds,0
325181,LEAD COMPOUNDS,1,1,0,Pounds,39.752
311211,CHLORINE,1,0,0,Pounds,0
424690,P-XYLENE,1,0,0,Pounds,0
339114,ETHYLENE GLYCOL,1,0,0,Pounds,0
424690,TRICHLOROETHYLENE,1,0,1,Pounds,0
335931,LEAD,1,1,1,Pounds,0.16
335999,DIMETHYL PHTHALATE,1,0,0,Pounds,0
326199,LEAD,1,1,1,Pounds,5.72944
424710,CYCLOHEXANE,0,0,0,Pounds,0
424710,BENZO(GHI)PERYLENE,1,0,1,Pounds,0
326299,2-MERCAPTOBENZOTHIAZOLE,0,0,0,Pounds,0
324199,STYRENE,1,0,1,Pounds,0
311513,NITRATE COMPOUNDS,0,0,0,Pounds,8925
424710,BENZENE,1,0,1,Pounds,356
335999,124-TRIMETHYLBENZENE,0,0,0,Pounds,9264
424710,ETHYLBENZENE,1,0,0,Pounds,0
424710,TOLUENE,1,0,0,Pounds,285.53
331492,NICKEL COMPOUNDS,1,1,0,Pounds,5
325211,CRESOL (MIXED ISOMERS),1,0,0,Pounds,344
325211,O-XYLENE,1,0,0,Pounds,500
332992,ANTIMONY,1,1,0,Pounds,0
332992,NICKEL,1,1,1,Pounds,95
333298,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),1,1,0,Pounds,11
332812,LEAD COMPOUNDS,1,1,0,Pounds,1049
327310,CHROMIUM,1,1,1,Pounds,0
325211,ZINC COMPOUNDS,0,1,0,Pounds,2266
221112,BENZO(GHI)PERYLENE,1,0,1,Pounds,0.077
334412,TETRABROMOBISPHENOL A,0,0,1,Pounds,1.1009
311421,NITRATE COMPOUNDS,0,0,0,Pounds,0
332312,MANGANESE,1,1,0,Pounds,0
323119,CERTAIN GLYCOL ETHERS,1,0,0,Pounds,96
332431,XYLENE (MIXED ISOMERS),1,0,0,Pounds,5425
311942,HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS ONLY),1,0,0,Pounds,141801.8
334417,LEAD,1,1,1,Pounds,3
424690,AMMONIA,0,0,0,Pounds,0
424710,METHYL TERT-BUTYL ETHER,1,0,0,Pounds,0
424710,CUMENE,1,0,0,Pounds,0
424710,XYLENE (MIXED ISOMERS),1,0,0,Pounds,0
562211,CHROMIUM,1,1,1,Pounds,28142.6
562211,POLYCYCLIC AROMATIC COMPOUNDS,1,0,1,Pounds,7571.9
424710,N-HEXANE,1,0,0,Pounds,327
325412,POLYCYCLIC AROMATIC COMPOUNDS,1,0,1,Pounds,0
331492,NITRIC ACID,0,0,0,Pounds,350
339991,ZINC COMPOUNDS,0,1,0,Pounds,510
325199,METHANOL,1,0,0,Pounds,10300
322121,BENZO(GHI)PERYLENE,1,0,1,Pounds,0
424710,BENZO(GHI)PERYLENE,1,0,1,Pounds,0
424710,BENZO(GHI)PERYLENE,1,0,1,Pounds,0
325199,PYRIDINE,0,0,0,Pounds,5518
325211,TETRABROMOBISPHENOL A,0,0,1,Pounds,520
325199,CHLOROACETIC ACID,1,0,0,Pounds,505
424710,ETHYLBENZENE,1,0,0,Pounds,0
424710,XYLENE (MIXED ISOMERS),1,0,0,Pounds,0
332721,LEAD,1,1,1,Pounds,0.4146
